Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,BGR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,18639.361,21448.283,24748.583,26805.77,32144.922,33938.085,34774.161,37729.763,39328.575,41169.409,33153.347,32166.924,32834.318,33564.051,33164.348,34425.796,31741.552,31653.544,33919.75,35001.515,36603.994,37165.045,39141.558,39060.884,39181.895,41132.739,41037.397,41807.467,37938.782,38609.843,35932.933,29809.043,30260.084,32269.6,29471.679,29790.708,30007.061,30586.447,28760.281,25404.976,25170.288,28587.932,26120.041,28488.923,28239.567,26761.766,27007.455,30406.764,29618.359,24810.922,26710.428,32042.246,27425.493,23197.442,25008.94,25907.355,22339.364,,,,,
Bahrain,BHR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,36.67,0,36.67,0,0,0,0,0,80.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"Bahamas, The",BHS,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,3.667,0,14.668,11.001,0,0,0,0,0,0,66.006,36.67,0,0,0,0,0,0,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,7.334,7.334,7.334,7.334,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,,,,,
Bosnia and Herzegovina,BIH,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12596.145,10916.659,1177.107,1378.792,1998.515,6248.568,7964.724,7763.039,9717.55,9464.527,10461.951,10821.317,11100.009,11859.078,12907.84,12698.821,14587.326,15331.727,15885.444,18500.015,17249.568,17099.221,14561.657,13501.894,16164.136,,,,,
Belarus,BLR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7880.383,6838.955,5929.539,5309.816,5056.793,4176.713,4063.036,3248.962,3512.986,2959.269,2640.24,2599.903,2302.876,2273.54,2299.209,2207.534,2035.185,2071.855,2273.54,2317.544,2944.601,3146.286,3256.296,2929.933,3157.287,,,,,
Belize,BLZ,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bermuda,BMU,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bolivia,BOL,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,7.334,3.667,3.667,3.667,3.667,3.667,3.667,0,3.667,3.667,3.667,3.667,0,0,0,3.667,0,0,0,3.667,3.667,3.667,3.667,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brazil,BRA,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,4968.785,4682.759,5672.849,5423.493,6175.228,6948.965,8371.761,8129.739,8540.443,9424.19,8910.81,8991.484,9380.186,9017.153,9548.868,11070.673,11529.048,15067.703,17722.611,18478.013,20003.485,19739.461,21569.294,23945.51,29020.638,34898.839,35151.862,40267.327,39808.952,39962.966,35749.583,41037.397,39442.252,40443.343,42115.495,44403.703,46893.596,47678.334,46607.57,48217.383,51249.992,50644.937,48826.105,52379.428,54480.619,52815.801,52269.418,55346.031,56006.091,44495.378,58543.655,64165.166,62944.055,68840.591,73666.363,74469.436,67318.786,,,,,
Barbados,BRB,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,3.667,3.667,3.667,0,0,0,3.667,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brunei Darussalam,BRN,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bhutan,BTN,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.667,3.667,3.667,3.667,3.667,0,0,0,44.004,47.671,0,47.671,47.671,80.674,44.004,62.339,77.007,91.675,187.017,179.683,176.016,176.016,146.68,168.682,110.01,25.669,99.009,84.341,80.674,113.677,58.672,77.007,95.342,139.346,194.351,253.023,212.686,311.695,,,,,
Botswana,BWA,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,22.002,51.338,88.008,187.017,594.054,781.071,832.409,942.419,986.423,1008.425,1100.1,1030.427,1045.095,1158.772,1067.097,1239.446,1301.785,1430.13,1749.159,1719.823,1947.177,1925.175,1954.511,1976.513,1587.811,1701.488,2024.184,1595.145,2053.52,2005.849,2090.19,1804.164,1983.847,2141.528,2093.857,1936.176,1954.511,1576.81,1991.181,1430.13,2328.545,2775.919,3846.683,2900.597,3575.325,,,,,
Canada,CAN,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,49676.849,45632.148,47069.612,46636.906,51961.39,54220.262,52625.117,57362.881,60626.511,59167.045,58862.684,55921.75,62206.988,52056.732,48547.413,61334.242,59148.71,65085.583,69566.657,76090.25,81238.718,83757.947,88517.713,93600.175,102998.696,99845.076,92562.414,99111.676,106493.347,106984.725,93867.866,98022.577,101689.577,93431.493,96299.087,98392.944,100497.802,106852.713,114018.031,113787.01,122188.107,121198.017,116452.919,114857.774,110604.054,113401.975,115594.841,114505.742,112437.554,88257.356,86970.239,77612.055,75529.199,69137.618,74990.15,70670.424,65862.987,,,,,
